epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,22672.5,1.08935,4.03309,1.26443,1.42551,0.79828,0.66999,0.77952,0.55692,0.04865,0.07593,0.00945,0.00252,1.02106,3.63657,1.05334,1.51404,0.000305478,0.000305478,0.000305478
68,23000.4,1.09518,4.02302,1.29895,1.44116,0.77215,0.71752,0.78185,0.55351,0.03431,0.0594,0.00549,0.00175,1.02051,3.6283,1.03795,1.51744,0.000284849,0.000284849,0.000284849
69,23325.5,1.10745,4.03828,1.28436,1.44603,0.79,0.67534,0.7685,0.54907,0.03735,0.06205,0.00867,0.00199,1.02606,3.6323,1.07298,1.52122,0.00026422,0.00026422,0.00026422
70,23655.1,1.11828,4.01441,1.30935,1.44811,0.83064,0.66098,0.77722,0.53896,0.03536,0.06192,0.00584,0.00164,1.05275,3.61084,1.06389,1.56627,0.00024359,0.00024359,0.00024359
71,23983.4,1.06633,4.03241,1.25575,1.41586,0.79772,0.69109,0.7815,0.54923,0.04304,0.07474,0.00768,0.00204,1.04134,3.59625,1.05936,1.53981,0.000222961,0.000222961,0.000222961
72,24309.7,1.07532,3.98827,1.22856,1.42004,0.85768,0.6438,0.7767,0.55254,0.05176,0.08102,0.00918,0.00231,1.03536,3.60314,1.08274,1.52199,0.000202332,0.000202332,0.000202332
73,24636.3,1.05539,4.01888,1.23199,1.41048,0.8115,0.68822,0.78777,0.56554,0.05116,0.08205,0.01006,0.00249,1.01043,3.57312,1.04372,1.49208,0.000181703,0.000181703,0.000181703
74,24964.5,1.06544,3.97099,1.23419,1.41652,0.80325,0.68686,0.78121,0.56421,0.04606,0.07826,0.01325,0.00281,1.00392,3.5904,1.04308,1.50314,0.000161074,0.000161074,0.000161074
75,25281.5,1.04169,3.96608,1.2001,1.40869,0.82129,0.68195,0.78857,0.57187,0.04905,0.08162,0.01075,0.00277,0.97813,3.56896,1.00586,1.4779,0.000140445,0.000140445,0.000140445
76,25665,1.04298,4.02809,1.22967,1.41273,0.83521,0.66658,0.78585,0.56971,0.06023,0.09226,0.01695,0.00359,0.98861,3.56159,1.01334,1.47366,0.000119816,0.000119816,0.000119816
77,26029.5,1.05298,3.98407,1.22339,1.40037,0.79763,0.70485,0.78899,0.57287,0.05328,0.08789,0.0109,0.00273,0.98219,3.55408,1.01207,1.46509,9.91865e-05,9.91865e-05,9.91865e-05
78,26395.5,1.07713,4.00135,1.24997,1.42042,0.81151,0.68986,0.79186,0.57443,0.06322,0.10048,0.01585,0.00343,0.97019,3.54681,1.01053,1.45881,7.85574e-05,7.85574e-05,7.85574e-05
79,26757.4,1.06099,3.97013,1.2298,1.41636,0.79521,0.69143,0.78889,0.57726,0.06757,0.10606,0.01851,0.00414,0.96376,3.54473,1.00431,1.45183,5.79283e-05,5.79283e-05,5.79283e-05
80,27108.9,1.03803,3.96627,1.18061,1.39526,0.79385,0.69404,0.78871,0.57666,0.06002,0.09949,0.01484,0.00333,0.96768,3.53751,1.00697,1.45464,3.72991e-05,3.72991e-05,3.72991e-05
